method,nominal_level,side,kind,conditioner,timing,stat,df,p_value,n,regressors,expected_violation_rate,detail,p_holm,n_tests_in_family,implementable
LSTM-Gaussian,0.95,both,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),-0.24047155107050228,,0.8099647152433029,784,,0.050000000000000044,PICP 0.9296 (n=71) vs 0.9187 (n=713); z_iid=-0.323 p_iid=0.7468,1.0,7,True
LSTM-Gaussian,0.95,both,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.10029676654916096,,0.9201087244699512,784,,0.050000000000000044,PICP 0.9153 (n=59) vs 0.9200 (n=725); z_iid=0.129 p_iid=0.8974,1.0,7,True
LSTM-Gaussian,0.95,upper,DQ incremental,regime,t-1 (implementable),13.439068681874929,2.0,0.001207100180243857,780,"regime_transitional(t-1), regime_crisis(t-1)",0.025000000000000022,"DQ_full=60.526 (df 7, p=1.185e-10) vs DQ_level+dynamics=47.087 (df 5, p=5.454e-09)",0.008449701261706999,7,True
LSTM-Gaussian,0.95,upper,DQ incremental,transition,t-1 (implementable),0.04752982140189488,1.0,0.8274187086911279,780,transition_exante(t-1),0.025000000000000022,"DQ_full=47.134 (df 6, p=1.759e-08) vs DQ_level+dynamics=47.087 (df 5, p=5.454e-09)",1.0,7,True
LSTM-Gaussian,0.95,upper,DQ incremental,width,t-1 (implementable),2.646826279388705,1.0,0.103756858067589,780,log_interval_width,0.025000000000000022,"DQ_full=49.734 (df 6, p=5.316e-09) vs DQ_level+dynamics=47.087 (df 5, p=5.454e-09)",0.415027432270356,7,True
LSTM-Gaussian,0.95,upper,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),1.9858267115643662,,0.04705256869844317,784,,0.025000000000000022,PICP 0.9265 (n=381) vs 0.9628 (n=403); z_iid=2.229 p_iid=0.02579,0.23526284349221582,7,True
LSTM-Gaussian,0.95,upper,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-2.752732092928988,,0.005910023812113434,784,,0.025000000000000022,PICP 0.9699 (n=332) vs 0.9270 (n=452); z_iid=-2.606 p_iid=0.009158,0.03546014287268061,7,True
LSTM-Gaussian,0.95,upper,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),0.3822066312986803,,0.7023081035021794,784,,0.025000000000000022,PICP 0.9296 (n=71) vs 0.9467 (n=713); z_iid=0.604 p_iid=0.5455,1.0,7,True
LSTM-Gaussian,0.95,upper,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.3087120040002355,,0.7575406116977441,784,,0.025000000000000022,PICP 0.9322 (n=59) vs 0.9462 (n=725); z_iid=0.454 p_iid=0.6496,1.0,7,True
Quantile-LSTM,0.9,both,DQ incremental,regime,t-1 (implementable),0.837568590742606,2.0,0.6578460804091404,780,"regime_transitional(t-1), regime_crisis(t-1)",0.09999999999999998,"DQ_full=58.999 (df 7, p=2.391e-10) vs DQ_level+dynamics=58.161 (df 5, p=2.913e-11)",1.0,7,True
Quantile-LSTM,0.9,both,DQ incremental,transition,t-1 (implementable),1.8776685752900946,1.0,0.17059936611402832,780,transition_exante(t-1),0.09999999999999998,"DQ_full=60.039 (df 6, p=4.419e-11) vs DQ_level+dynamics=58.161 (df 5, p=2.913e-11)",1.0,7,True
Quantile-LSTM,0.9,both,DQ incremental,width,t-1 (implementable),0.19709318871810666,1.0,0.6570774421969132,780,log_interval_width,0.09999999999999998,"DQ_full=58.359 (df 6, p=9.693e-11) vs DQ_level+dynamics=58.161 (df 5, p=2.913e-11)",1.0,7,True
Quantile-LSTM,0.9,both,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),0.7058259226823793,,0.4802963991735114,784,,0.09999999999999998,PICP 0.8110 (n=381) vs 0.8313 (n=403); z_iid=0.740 p_iid=0.4595,1.0,7,True
Quantile-LSTM,0.9,both,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-0.41886380364607784,,0.6753156718269231,784,,0.09999999999999998,PICP 0.8283 (n=332) vs 0.8164 (n=452); z_iid=-0.431 p_iid=0.6662,1.0,7,True
Quantile-LSTM,0.9,both,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),-0.5355818228362282,,0.5922475941438594,784,,0.09999999999999998,PICP 0.8451 (n=71) vs 0.8191 (n=713); z_iid=-0.545 p_iid=0.5855,1.0,7,True
Quantile-LSTM,0.9,both,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.7437724297321457,,0.45701416229268454,784,,0.09999999999999998,PICP 0.7797 (n=59) vs 0.8248 (n=725); z_iid=0.871 p_iid=0.3837,1.0,7,True
